PLACE_NM,pId,TRRSRT_ROAD_NM_ADDR,TRNSPORT_INFO_CN,CRSLK_ADDR,CRSLK_ROAD_NM,CHILD_PRTC_ZONE_AT,CRSLK_LA,CRSLK_LO
용두산공원,60,부산광역시 중구 용두산길 37-55,"도시철도 1호선 중앙역 1번 출구 도보 6분, 1호선 남포역 7번 출구 도보 7분, 버스 126, 15, 186, 81, 86 백산기념관 하차 도보 6분, 134, 26, 30, 7, 71, 9, 103, 11, 113, 126, 15 남포동 하차 도보 10분, 주차 용두산공원 공영주차장(유료)",부산 중구 대청동1가 36-5,대청로,Y,35.10291,129.03291
민락수변공원,61,부산 수영구 광안해변로 361,"도시철도 2호선 광안역 3번 출구 도보 20분, 버스 41, 83-1, 210 민락수변공원 하차, 주차 인근공영주차장",부산 수영구 민락동 110-7,광안해변로,N,35.15669,129.13344
APEC나루공원,62,부산광역시 해운대구 수영강변대로 93,"도시철도 2호선 센텀시티역 12번 출구 도보 10분, 버스 139 영화의전당 하차 도보 3분",부산 해운대구 우동 1524,수영강변대로,N,35.17041,129.13424
어린이대공원,63,부산광역시 부산진구 새싹로 295,"버스 54, 63, 81, 133 어린이대공원 하차, 주차 어린이대공원 주차장(유료)",부산 부산진구 초읍동 43-5,성지로,Y,35.18282,129.04711
송상현광장,64,부산광역시 부산진구 중앙대로 818,"도시철도 1호선 부전역 8번 출구 도보 2분, 버스 5-1, 10, 20, 29, 31, 33, 43, 52, 57, 62, 77, 80, 86, 87, 99, 110-1, 111, 129-1, 141, 1002 송상현광장 하차, 주차 송상현광장 주차장",부산 부산진구 전포동 144,중앙대로,Y,35.16628,129.06612
구포어린이교통공원,66,부산광역시 북구 낙동북로 687,"도시철도 2호선 구명역 2번 출구 도보 5분, 버스 124, 128-1, 169, 169-1 구남시장 하차 도보 7분, 주차 구포어린이교통공원 주차장",부산 북구 구포동 972-51,낙동북로,Y,35.20078,128.99888
대신공원,67,부산광역시 서구 대신공원로 37-18,"버스 167, 190 동아대학교병원 하차 도보 5분, 마을버스 서구5 동아대학교 구덕캠퍼스 하차 도보 4분, 주차 대신공원 공영주차장(유료)",부산 서구 동대신동3가 13-6,대신공원로,Y,35.1195,129.01647
수영사적공원,69,부산광역시 수영구 수영성로 43,"도시철도 2, 3호선 수영역 1번 출구 도보 9분, 버스 1, 131, 141, 20, 5-1, 62, 63 수영사적공원 하차, 주차 수영사적공원 공영주차장(무료)",부산 수영구 광안동 1092,연수로,Y,35.16942,129.11218
대룡마을,71,부산광역시 기장군 장안읍 대룡1길 17,"버스 187 대룡마을 하차, 주차 대룡마을 공영주차장(무료)",부산 기장군 장안읍 명례리 141,기장대로,N,35.3718,129.26138
우장춘기념관,73,부산광역시 동래구 우장춘로62번길 7,"도시철도 3호선/4호선 미남역 14번 출구 도보 11분, 도시철도 1호선 명륜역 1번 출구 도보 16분, 버스 80, 동래구1-1, 동래구3 우장춘기념관 하차",부산 동래구 온천동 390-2,우장춘로,Y,35.21328,129.07173
